GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Teste,View,TelaEditarUsuario.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarA.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarA.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarA.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaDeletarUsuarios,609,0,16,0,113,0,17,0,9,0
Teste,View,TelaEditarA.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarUsuario,587,0,18,0,101,0,17,0,8,0
Teste,View,TelaEditarA.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarA.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaDeletarAdmin,542,0,16,0,99,0,16,0,8,0
Teste,View,TelaVisualizarUsuarios.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaVisualizarUsuarios.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaVisualizarUsuarios.new DefaultTableModel() {...},74,0,0,0,5,0,3,0,3,0
Teste,View,TelaVisualizarUsuarios.new MouseMotionAdapter() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaDeletarObra,599,0,20,0,103,0,18,0,8,0
Teste,View,TelaVisualizarUsuarios.new KeyAdapter() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaDevedores,570,0,20,0,101,0,17,0,7,0
Teste,View,TelaAddEmprestimo.new KeyAdapter() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarObra.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaAddEmprestimo.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaAddUsuario,663,0,14,0,156,0,14,0,6,0
Teste,View,TelaAddEmprestimo.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaVisualizarUsuarios,433,0,10,0,78,0,11,0,6,0
Teste,View,TelaDevolucao.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarObra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaDevolucao.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarObra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarObra.new DefaultTableModel() {...},90,0,0,0,5,0,3,0,3,0
Teste,View,TelaEditarObra.new MouseMotionAdapter() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarObra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarObra.new KeyAdapter() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarObra,640,0,18,0,101,0,17,0,8,0
Teste,View,TelaDevolucao.new DefaultTableModel() {...},74,0,0,0,5,0,3,0,3,0
Teste,View,TelaDevolucao.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarAdmin,624,0,18,0,103,0,17,0,8,0
Teste,View,TelaDevolucao.new MouseMotionAdapter() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaDevolucao.new KeyAdapter() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaDevolucao.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
